wake_up 1f305
toilet 1f6bd
wash_hands 1f9fc
toothbrush 1faa5
shower 1f6bf
bath 1f6c1
clothes 1f455
shoes 1f45f
breakfast 1f963
meal 1f37d
snack 1f34e
drink 1f964
backpack 1f392
car 1f697
bus 1f68c
school 1f3eb
teacher 1f9d1_200d_1f3eb
book 1f4da
story 1f4d6
play 1f9f8
park 1f6dd
doctor 1f9d1_200d_2695
hospital 1f3e5
waiting 1fa91
tooth 1f9b7
haircut 1f487
scissors 2702
shop 1f6d2
home 1f3e0
moon 1f319
bed 1f6cf
sleep 1f634
hug 1f917
music 1f3b5
tv 1f4fa
tablet 1f4f1
comb 1faae
medicine 1f48a
stethoscope 1fa7a
wave 1f44b
star 2b50
calm 1f9d8
sun 2600
swim 1f3ca
turtle 1f422
gift 1f381
ice_cream 1f366
paint 1f3a8
bubbles 1fae7
headphones 1f3a7
